,Time,Acc_x,Acc_y,Acc_z
759,1603920599434,-2048,-1097,2047
760,1603920599484,22,-2048,2047
761,1603920599534,-135,-1804,2047
762,1603920599584,118,-1470,2047
763,1603920599634,-65,-1668,2047
764,1603920599684,9,-2048,2047
765,1603920599734,67,-1992,1880
766,1603920599784,-581,-312,1252
767,1603920599834,-870,-667,1017
768,1603920599884,-1647,-1011,1020
769,1603920599934,-1698,-858,888
770,1603920599984,-1264,-874,1049
771,1603920600034,-2017,343,1472
772,1603920600084,-2048,-479,1279
773,1603920600134,-2048,-2048,737
774,1603920600184,-2048,-880,-518
775,1603920600234,-2048,802,-2048
776,1603920600284,-2048,-1210,-2048
777,1603920600334,-2048,32,-2048
778,1603920600384,-2048,-467,-2048
779,1603920600434,382,-2048,-627
780,1603920600484,-2048,-2048,2047
781,1603920600534,2047,2047,-1478
782,1603920600584,2047,-616,-2048
783,1603920600634,-705,998,1317
784,1603920600684,-336,572,1105
785,1603920600734,-706,38,1155
786,1603920600784,-375,-279,1250
787,1603920600834,97,384,1871
788,1603920600884,-294,312,1613
789,1603920600934,-379,-465,1463
790,1603920600984,-2048,-1741,2001
791,1603920601034,-2048,-2048,1932
792,1603920601084,-673,-1313,1048
793,1603920601134,-2048,-1221,2047
794,1603920601184,-1010,-2048,2047
795,1603920601234,-20,-1327,2047
796,1603920601284,-795,-1070,2047
797,1603920601334,-112,-1609,2047
798,1603920601384,87,-2048,2047
799,1603920601434,242,-2010,2047
800,1603920601484,-18,-1306,1712
